source_id,source_vendor,official_url,access_method,rights_url,rights_evidence,metadata_index,rendered_text,api_output,raw_download,bulk_export,proposed_public_tier,permission_contact_action,checked_date
vmware-broadcom,VMware vSphere NSX and vCenter MIBs distributed by Broadcom,https://knowledge.broadcom.com/external/article/313538/snmp-mib-module-file-download.html,Download the current ZIP attachment from the official KB or older packages from the authenticated Broadcom Support Portal,https://www.broadcom.com/company/legal/terms-of-use,"The KB explicitly provides a current MIB ZIP and points to entitled support downloads, but no MIB-specific public redistribution license was visible in the reviewed primary pages.",unknown,unknown,unknown,unknown,unknown,Q,"Inspect the ZIP for an embedded license and request a written public redistribution grant from Broadcom/VMware Legal for any unresolved scope.",2026-07-13
netapp,NetApp ONTAP custom MIB and traps.dat,https://docs.netapp.com/us-en/ontap/networking/manage_snmp_on_the_cluster_cluster_administrators_only_overview.html,Obtain current files from the NetApp Support Site or an authorized ONTAP node SPI web service,https://www.netapp.com/company/legal/copyright/,"NetApp's copyright notice limits documents to informational non-commercial use and expressly prohibits copying software to another server for further reproduction or redistribution; the ONTAP page gives access but no MIB-specific exception.",unknown,denied,denied,denied,denied,Q,"Request a MIB-specific public/commercial redistribution license from NetApp. Keep device-originated files local and unretained until granted.",2026-07-13
dell,Dell OpenManage and iDRAC MIBs,https://www.dell.com/support/home/en-us/drivers/driversdetails?driverid=19crr,Download the public Dell OpenManage MIB ZIP from the official driver page and verify the published checksum,https://www.dell.com/en-us/lp/legal/site-terms-of-use,"Dell grants a limited personal non-commercial site-content license; its copyright page prohibits commercial/public display and mirroring without permission. No separate license is advertised on the download page.",unknown,denied,denied,denied,denied,Q,"Inspect the ZIP for controlling terms, then request written public/commercial redistribution permission from Dell Legal for unresolved scopes.",2026-07-13
synology,Synology DSM SRM and APM MIBs,https://global.download.synology.com/download/Document/Software/DeveloperGuide/Firmware/DSM/All/enu/Synology_DiskStation_MIB_Guide.pdf,Follow the official guide's MIB download link and import the complete mutually dependent set,https://www.synology.com/en-us/company/legal/terms_conditions,"The official guide links the MIB set, while Synology's site terms reserve rights in site materials. No MIB-specific redistribution license was found on the reviewed guide or legal page.",unknown,unknown,unknown,unknown,unknown,Q,"Inspect every downloaded file for an embedded license and request written redistribution/API permission from Synology if absent.",2026-07-13
mikrotik,MikroTik RouterOS MIB,https://help.mikrotik.com/docs/spaces/ROS/pages/8978519/SNMP,Use the official RouterOS documentation link to the MikroTik tools download page,https://help.mikrotik.com/docs/spaces/ROS/pages/8978519/SNMP,"MikroTik publishes a direct official download path and identifies MIKROTIK-MIB, but the reviewed source page does not state permission to republish, transform, expose by API, or bulk export it.",unknown,unknown,unknown,unknown,unknown,Q,"Inspect the raw MIB header and obtain a written five-scope license from MikroTik before any public activation.",2026-07-13
schneider-apc,Schneider Electric APC PowerNet MIB,https://www.se.com/us/en/download/document/APC_POWERNETMIB_EN/,Download the versioned powernet MIB directly from Schneider Electric's public document page,https://www.se.com/uk/en/about-us/legal/terms-of-use,"Schneider's terms state site content is proprietary, other use is prohibited, systematic extraction is forbidden, and no copyright transfer or grant is implied.",unknown,denied,denied,denied,denied,Q,"Request explicit written permission from Schneider Electric/APC for public commercial indexing, rendered content, API output, mirroring, and bulk export.",2026-07-13
eaton,Eaton Network-M3 UPS ATS and sensor MIBs,https://www.eaton.com/content/dam/eaton/products/backup-power-ups-surge-it-power-distribution/power-management-software-connectivity/eaton-gigabit-network-card/network-m3/resources/eaton-network-m3-user-guide.pdf,Use the authenticated device web UI Supported MIBs button documented in the official user guide,https://www.eaton.com/us/en-us/company/policies-and-statements/terms-and-conditions.html,"Eaton limits site materials to personal non-commercial download and expressly prohibits software reproduction or redistribution outside its accompanying license; no MIB-specific public license was found.",unknown,denied,denied,denied,denied,Q,"Obtain the archive under authorized access, inspect accompanying terms, and request written commercial redistribution permission from Eaton Legal.",2026-07-13
vertiv,Vertiv Geist rack power MIBs,https://www.vertiv.com/48ef3d/globalassets/shared/vertiv-geist-power-distribution-upgradeable-installeruser-guide_01.pdf,Use the product web UI ZIP action documented by Vertiv to download MIB and CSV files,https://www.vertiv.com/en-us/terms-of-use/,"Vertiv permits document use only for informational non-commercial or personal use and says documents may not be copied or posted on a network computer or broadcast; no MIB-specific exception was found.",unknown,denied,denied,denied,denied,Q,"Request written MIB-specific commercial redistribution and API permission from Vertiv Legal; otherwise support only local Tier P processing.",2026-07-13
huawei,Huawei enterprise network product MIBs,https://info.support.huawei.com/enterprise/en/doc/EDOC1100306132/e704d4b7/mib-example,Use the official support site product and release filters to download the matching MIB_XXXX.zip package,https://www.huawei.com/en/legal,"Huawei states that software rights are retained and site content may not be reproduced, modified, promoted, distributed, mirrored, or stored in an information-retrieval system without prior written consent.",unknown,denied,denied,denied,denied,Q,"Request explicit written permission from Huawei Legal for each scope and for automated update access; do not crawl the support portal.",2026-07-13
nokia,Nokia SR OS and VSR MIBs,https://documentation.nokia.com/sr/25-7/7x50-shared/vsim-installation-setup/vsim-overview-vsim-installation-and-setup.html,Obtain the entitled VSR or vSIM release ZIP from the Nokia Support Portal; the package includes a MIBs directory,https://www.nokia.com/sites/default/files/2026-01/eula_december-2025.pdf,"Nokia documents MIBs as a component of an entitled software package. The reviewed EULA describes use in support of internal business operations and no public MIB redistribution grant was identified.",unknown,denied,denied,denied,denied,Q,"Request a separate written MIB redistribution/API license from Nokia Legal or the account team before extracting package content into the public service.",2026-07-13
extreme-networks,Extreme Networks EOS EXOS and related MIBs,https://www.extremenetworks.com/support/policies,Download public EOS TAR or ZIP bundles; EXOS and several other families require Extreme Portal login and release selection,https://www.extremenetworks.com/about-extreme-networks/company/legal,"Extreme documents public EOS downloads and authenticated EXOS downloads, but its legal page and MIB source page do not provide a clear MIB-specific public redistribution grant.",unknown,unknown,unknown,unknown,unknown,Q,"Review the Terms of Use PDF and archive-level notices with Extreme Legal; request one written license covering both public and portal-delivered families.",2026-07-13
qnap,QNAP QES and QNE NAS MIBs,https://docs.qnap.com/operating-system/qes/2.1.x/qes2.1.x-ug-04-en-us.pdf,Use the authenticated NAS Control Panel SNMP page and click Download to obtain NAS.mib,https://www.qnap.com/en/legal/qnap-software-terms-of-use,"QNAP documents device-local MIB download. Its software terms are non-distributable, but the reviewed pages do not establish whether NAS.mib has a separate license; no public redistribution grant was found.",unknown,unknown,unknown,unknown,unknown,Q,"Inspect NAS.mib notices on an authorized device and ask QNAP Legal for explicit rights before any server-side retention or public output.",2026-07-13
